,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
10,0,0.021505376,0.154121864,0.032258065,0,0.329749104,0,0,0,0,0,0.007168459,0,0,0,0,0,0.003584229,0,0.017921147,0,0.344086022,0.003584229,0.003584229,0.028673835,0,0,0.043010753,0,0.003584229,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007168459
11,0.000243526,0.015910382,0.004951701,0.000608816,0.029466677,0.000202939,0.001136456,0.000162351,0.001623508,8.12E-05,8.12E-05,0.876045134,0.001542333,0.016559786,0.000162351,4.06E-05,0.000771166,0.001623508,0.025448494,0.007386963,0,0.000852342,0.000852342,0.000405877,0.001136456,0.000324702,0.00052764,0.000730579,0.000405877,0.00052764,0.000121763,0.000284114,0,4.06E-05,8.12E-05,0,0,0,8.12E-05,8.12E-05,0,0,8.12E-05,0.009416349
12,0,0.025111355,0.001484733,6.46E-05,0.001226519,0,0.091537021,0.015234652,0.000839197,0.001807501,0,0.001807501,0.644955135,0.095668453,0.064295397,0.001355626,0.01000581,0.00071009,0.027951714,0.000968304,0,0.000516429,0.000387322,0,0.000451875,0.000129107,6.46E-05,0.000774643,0,0.000193661,0.000129107,6.46E-05,0,0.000258214,0.000193661,0,6.46E-05,0,6.46E-05,0,0,0,0.000129107,0.011555097
13,0,0.024880806,0.002841716,0.000157873,0.002052351,0,0.018913201,9.47E-05,0.001989201,0.006977992,0,0.0148085,0.050108932,0.764705882,0.014840075,0.01180891,0.037321209,0.002589119,0.017776515,0.010451201,6.31E-05,0.001894478,0.00088409,0.000284172,0.000568343,0.000536769,0.000252597,0.000663067,0.000347321,0.000599918,0.000663067,0.00082094,0.000157873,9.47E-05,0.000505194,0,3.16E-05,0,3.16E-05,3.16E-05,9.47E-05,3.16E-05,0.000157873,0.008967194
14,0,0.008074621,0.000487262,0,0.000417653,0,0.001670611,0.000139218,6.96E-05,0.000139218,0,0.000208826,0.081511903,0.03417792,0.832869275,0.00696088,0.020395378,0.001392176,0.001322567,0.000139218,0,0.000348044,0.000139218,0,0.000208826,6.96E-05,6.96E-05,0.000208826,0.000208826,0.000208826,6.96E-05,0.00055687,0,0,0.000139218,0,0,0,0,0,0,6.96E-05,0,0.007726577
15,0,0.003734062,0,0,0.000182149,0,0.000455373,0,9.11E-05,0.000182149,0,9.11E-05,0.003187614,0.040710383,0.010928962,0.803005464,0.12859745,0.004735883,0.000455373,0.000182149,0,0,0.000182149,0,0,0,0.000182149,0.000182149,0,0,0,0,0,0,0,0,0,0,0,0,0,9.11E-05,0,0.002823315
16,0,0.005427788,0.000195848,0,0.000279783,2.80E-05,0.001035197,8.39E-05,2.80E-05,0.00391696,0,0.000447653,0.004868222,0.036679537,0.008617313,0.041128085,0.838145599,0.048598288,0.000951262,0.000615522,2.80E-05,0.000195848,0.000223826,5.60E-05,8.39E-05,0,5.60E-05,0.000195848,0.000139891,0.001091153,0.000671479,0.000839349,0.000111913,0.000279783,0.000139891,0.000111913,0.000195848,0,0,0,0,0,0,0.004532483
17,0,0.005715219,0.033474853,0.002286088,0.000979752,8.16E-05,0.000326584,8.16E-05,0.000244938,0.00996081,8.16E-05,0.003755715,0.00122469,0.005715219,0.001061398,0.004898759,0.1432887,0.51747224,0.000734814,0.13455258,0.000163292,0.00955258,0.002857609,0.001061398,0.037557152,0.014206401,0.00791966,0.004245591,0.006123449,0.002612671,0.018370346,0.015757675,0,0.00040823,0.000898106,0.000244938,8.16E-05,0,0.000163292,0,8.16E-05,0,0.000244938,0.011512084
18,0,0.073196579,0.000605556,0,0.034289607,7.57E-05,0.048898645,0.00041632,0.003065627,0.000605556,3.78E-05,0.024373628,0.011732647,0.024714253,0.001173265,0.000302778,0.001324654,0.000227083,0.763606086,0.000454167,3.78E-05,0.000189236,0.000492014,0.000113542,7.57E-05,3.78E-05,0,0.000492014,0.000151389,3.78E-05,3.78E-05,0.000113542,0,3.78E-05,0.000302778,0,0,0,7.57E-05,0,0,7.57E-05,0.000378472,0.0082507
19,0.000537817,0.004557292,0.038977582,0.003849638,0.00036798,0.000226449,0.000452899,0,0.000113225,0.007755888,0.000226449,0.004585598,0.000452899,0.007982337,0.000254755,8.49E-05,0.000764266,0.040364583,0.000679348,0.853232563,5.66E-05,0.002490942,0.000990716,0.000424592,0.005831069,0.000622736,0.000594429,0.001330389,0.000481205,0.001160553,0.004076087,0.005689538,0.000198143,0.000311368,0.000849185,0.000141531,0.000254755,2.83E-05,0.000169837,2.83E-05,2.83E-05,0.000113225,0.000113225,0.00854846
20,0.013986014,0.003496503,0.01048951,0,0.003496503,0,0,0,0,0.006993007,0,0,0,0.006993007,0,0,0.006993007,0,0,0,0.65034965,0.024475524,0.01048951,0.003496503,0.003496503,0,0,0,0.003496503,0.01048951,0,0.027972028,0,0.017482517,0.020979021,0,0,0.003496503,0,0,0.003496503,0,0,0.167832168
21,0,0.004509613,0.009937351,0.000729099,0.000243033,0.001944264,8.10E-05,8.10E-05,0,0.00051307,0.003942536,0.000486066,0.000108015,0.001296176,0.000243033,2.70E-05,0.000243033,0.003591488,0.000189026,0.002457334,8.10E-05,0.763339814,0.164884424,0.009397278,0.003591488,0.005535753,0.004617628,0.002214301,0.001728235,0.000486066,0.000351048,0.000837114,0,0.000189026,0.000918125,8.10E-05,5.40E-05,0,0.000378051,0,2.70E-05,0,0.000189026,0.010477425
22,0,0.006605989,0.006899589,0.0002202,0.0002936,0.0001468,0.0002202,0.0001468,0.0001468,0.002201996,0.0001468,0.001688197,0.000440399,0.001394598,0.000660599,0.0002202,0.000660599,0.002495596,0.000954198,0.003009395,7.34E-05,0.453024075,0.41236054,0.024515561,0.003376395,0.002642396,0.01269818,0.023414563,0.009101585,0.001027598,0.001834997,0.006605989,7.34E-05,0.000513799,0.002935995,0.0001468,0.000660599,0,0.000807399,0,0,0,0.000513799,0.015120376
